#{"t_start": 1746598420.323036, "env_id": "None"}
r,l,t
34635390.0,643,5.602758
35043470.0,619,6.715748
23970052.0,518,7.592944
27319080.0,555,8.575935
29808140.0,553,9.656014
22092148.0,654,11.010157
34223790.0,639,12.185959
32337074.0,602,13.34645
33468760.0,671,14.685668
34746276.0,626,15.836735
34024716.0,637,17.156054
32241814.0,654,18.794379
20252332.0,453,19.615026
29170796.0,626,21.542238
4410720.0,476,22.536555
33871452.0,653,23.746029
32085786.0,624,24.952958
32895448.0,624,26.166826
29835476.0,681,27.589768
33259518.0,630,28.741307
29693810.0,570,29.756285
32357986.0,640,30.974028
31031748.0,596,32.129107
31513946.0,562,33.131813
34521800.0,630,34.439701
31644264.0,545,35.850562
33477858.0,651,37.603946
31642340.0,653,38.933324
32048070.0,655,40.307657
21484518.0,424,41.095997
30838248.0,572,42.310189
32656124.0,598,43.54088
34375416.0,601,44.66314
33603100.0,640,45.852734
30768756.0,624,47.094795
34136120.0,651,49.220403
7581657.0,422,50.048213
34298064.0,590,51.855903
31571148.0,619,54.733117
31648030.0,677,56.960915
35008296.0,655,58.481286
29101718.0,628,59.796175
33271634.0,561,60.925074
28800552.0,630,62.599181
33379700.0,675,63.936674
25960866.0,537,64.897205
34246116.0,643,66.162373
33654984.0,623,67.378115
33199282.0,657,68.713449
33290498.0,557,69.869722
5598626.0,333,70.535687
33850556.0,595,72.07148
32291134.0,629,73.538319
31577790.0,608,75.503353
31349940.0,668,78.131528
30690018.0,643,80.746356
33273050.0,630,82.195781
33507302.0,622,84.075476
32458462.0,663,85.833106
33983410.0,656,87.102574
34459296.0,655,88.465728
32358010.0,656,89.731631
27851490.0,552,90.861622
33521982.0,626,92.091118
33943590.0,617,93.493524
31631432.0,645,95.45713
34084588.0,569,96.624385
30940978.0,614,97.958183
34039144.0,670,99.392311
33085858.0,584,101.01143
33812970.0,673,103.189912
33601170.0,611,104.625357
29889032.0,550,106.044221
29857876.0,479,107.479703
33389786.0,623,108.871118
33538444.0,635,110.203307
34688940.0,559,111.234547
25304416.0,611,112.474726
4549804.0,288,112.958657
22732218.0,429,113.770445
33093674.0,631,116.148505
28308700.0,592,117.51429
33373316.0,627,119.725923
27559546.0,645,121.057321
33773004.0,585,122.221704
33211152.0,679,123.553988
30667076.0,510,124.479872
27240574.0,434,125.246333
32883310.0,639,126.467422
29720542.0,636,127.675338
34913600.0,637,128.905303
32591128.0,654,130.167951
33801692.0,617,131.501949
28187828.0,587,132.747449
35252730.0,600,133.999875
33734070.0,642,135.470852
27370102.0,547,136.670749
5673177.0,300,137.239448
30731188.0,621,138.438679
35173516.0,600,140.34915
